variant,label,run,MAP RMSE (mmHg),Flow RMSE (L/min),Unsafe Event Rate (%),Speed Variation (krpm),Return
full,Full CNN-Transformer,1,4.130173403174176,0.38216773713204666,1.4713544866687127,0.331820693538541,88.99803294980512
full,Full CNN-Transformer,2,3.856645478901895,0.32756650827053585,2.9139529504177473,0.4254957735626698,87.4590492286948
full,Full CNN-Transformer,3,3.1083314698083933,0.39054868874738763,2.298258935694534,0.3960049625402019,85.27810785607365
full,Full CNN-Transformer,4,3.8674577548401454,0.3716649878567248,2.4793031992582133,0.3244351076571415,92.56927244384877
full,Full CNN-Transformer,5,4.108847641078223,0.40415492609009535,1.1709133026449734,0.3582827836131274,88.41628836695484
full,Full CNN-Transformer,6,3.5933949744484743,0.2946713400027935,2.6174894809443043,0.40971511625640195,90.20561994668425
full,Full CNN-Transformer,7,3.851208641133547,0.29043474750496595,1.714879725259702,0.3382187954674185,80.52188948404655
full,Full CNN-Transformer,8,3.4645390557920304,0.2877870482510841,1.8244290628584467,0.43203260810921096,88.32160874024443
full,Full CNN-Transformer,9,3.6631238288158943,0.34957536014451374,2.176904770564094,0.35612288402626413,85.14796973827282
full,Full CNN-Transformer,10,3.7242135897710082,0.43088868679476455,3.009367352441428,0.3918598587600896,90.25606331711504
full,Full CNN-Transformer,11,3.2669458174555324,0.28273751872404296,1.8874909624934388,0.3739991524844611,87.14624288955406
full,Full CNN-Transformer,12,3.546676174788832,0.2720868813251297,2.64275014682288,0.3361854629369922,90.24301922754871
no_cnn,w/o CNN,1,5.5181376171623455,0.4638549982139402,5.701068682181365,0.18874270928051468,81.07658732369406
no_cnn,w/o CNN,2,5.352306256869223,0.4452757343328002,5.040279199602793,0.2941571384561833,75.83068044576319
no_cnn,w/o CNN,3,5.307311893640676,0.42822512912622895,4.305544865785723,0.36425899657715183,70.95114013840627
no_cnn,w/o CNN,4,5.10543424977354,0.5312013159810741,6.72059197127089,0.24829083473475785,76.08176814292048
no_cnn,w/o CNN,5,4.679081578193485,0.5466985144474379,4.956232009294733,0.32583003635038243,81.71893474432379
