controller,disturbance,MAP RMSE (mmHg)_mean,MAP RMSE (mmHg)_std,MAP RMSE (mmHg)_count,Unsafe event rate (%)_mean,Unsafe event rate (%)_std,Unsafe event rate (%)_count,Suction time (%)_mean,Suction time (%)_std,Suction time (%)_count,Backflow duration (%)_mean,Backflow duration (%)_std,Backflow duration (%)_count,Speed variation (krpm)_mean,Speed variation (krpm)_std,Speed variation (krpm)_count,Recovery time (s)_mean,Recovery time (s)_std,Recovery time (s)_count,MAP RMSE (mmHg)_sem,MAP RMSE (mmHg)_ci95,Unsafe event rate (%)_sem,Unsafe event rate (%)_ci95,Suction time (%)_sem,Suction time (%)_ci95,Backflow duration (%)_sem,Backflow duration (%)_ci95,Speed variation (krpm)_sem,Speed variation (krpm)_ci95,Recovery time (s)_sem,Recovery time (s)_ci95,Robustness score
Proposed CNN-Transformer,Nominal,2.92977001747617,0.330286375424755,12,0.7661359141247536,0.19847555823176852,12,0.22967426267427696,0.09587588955605891,12,0.21540387850045628,0.09481202669624873,12,0.2460977745155771,0.02561042687980893,12,4.498055073020901,1.2657491820955884,12,0.09534546388057405,0.18687710920592512,0.0572949584863364,0.11229811863321934,0.027676985321992722,0.05424689123110574,0.027369874567746595,0.05364495415278332,0.007393093426559457,0.014490463116056534,0.36539031550471834,0.716165018389248,98.55975657286673
Proposed CNN-Transformer,Sensor noise,3.3950387002347657,0.5280645138017085,12,0.9187883821957922,0.31009645548942605,12,0.40394008805556875,0.18629209635506577,12,0.441428805491433,0.12501067066579669,12,0.26530849452190547,0.05452137282729169,12,5.890021187611738,1.0173881032560759,12,0.15243909459645263,0.29878062540904715,0.08951713602578447,0.17545358661053756,0.05377789598924847,0.105404676138927,0.03608747218023669,0.0707314454732639,0.015738964639212403,0.03084837069285631,0.2936946476426091,0.5756415093795139,94.6158976994863
Proposed CNN-Transformer,Parameter drift,3.7923855661321646,0.5024568454641699,12,1.3515230133134992,0.4794304294396506,12,0.59756044763792,0.17429515321886027,12,0.5449074308058623,0.18255088392043156,12,0.31299459838207727,0.0500032197066914,12,7.035841102306961,1.2981553950796825,12,0.14504679749245436,0.28429172308521056,0.13839964374734007,0.2712633017447865,0.05031467681467802,0.09861676655676892,0.05269790098613265,0.10328788593281998,0.01443468617900314,0.028291984910846155,0.3747451833996098,0.7345005594632352,89.80260055451969
Proposed CNN-Transformer,Preload drop,4.167945256252993,0.3666403535029423,12,1.9577449512472131,0.3917138082304927,12,1.1936092506683254,0.22136658787905883,12,0.7134179883443648,0.15227462975878264,12,0.38243756717730903,0.07574293673803173,12,8.745397986481251,1.149586461505682,12,0.10583995339535164,0.20744630865488922,0.11307803631358421,0.22163295117462503,0.06390302955078178,0.1252499379195323,0.04395789924099188,0.08615748251234409,0.021865102457457708,0.04285560081661711,0.33185702650352744,0.6504397719469138,82.6493433625012
Proposed CNN-Transformer,Afterload rise,4.343776177419587,0.38476619022001934,12,1.5121960585459988,0.4689087698969625,12,0.7943502500803327,0.23254554399223756,12,1.064024430820369,0.3587272142254096,12,0.36355664614165367,0.07545681930157262,12,7.866397899496608,1.0212902182599468,12,0.11107243174929747,0.21770196622862303,0.1353623022626938,0.26531011243487984,0.06713011621138316,0.131575027774311,0.1035556268493424,0.2029690286247111,0.02178250746797795,0.042693714637236785,0.294821091216556,0.5778493387844497,84.18358822258756
Proposed CNN-Transformer,Composite,4.981130346768597,0.5727827907562945,12,2.65685819410722,0.436657797493941,12,1.9085760158205274,0.4936590271992457,12,1.1978536479516586,0.3322622876692129,12,0.40180392300019735,0.08425326119954962,12,10.873635034578058,1.1803604976694362,12,0.16534814921516586,0.32408237246172505,0.126052248463438,0.24706240698833845,0.14250708612068666,0.27931388879654584,0.09591586061369048,0.18799508680283333,0.024321821516831914,0.047670770172990554,0.3407407255351248,0.6678518220488446,75.0298662866273
Existing DRL,Nominal,3.6545784957052256,0.4359809426081891,12,1.5950913126101736,0.3540916343467951,12,0.837333665331049,0.23024967197254845,12,0.8529932421761767,0.10806628500026025,12,0.20873521291242483,0.04050795944301827,12,6.5978501287250495,1.1661389810674279,12,0.12585685728819238,0.24667944028485705,0.10221745020395834,0.20034620239975834,0.06646735504708694,0.1302760158922904,0.03119604936761154,0.061144256760518614,0.01169364064437452,0.02291953566297406,0.3366353273158977,0.6598052415391594,93.04499603438445
Existing DRL,Sensor noise,4.971568071906266,0.6292388829140475,12,3.0708105921827826,0.49953690353964064,12,1.5659312718515552,0.17369117591967953,12,1.423163963800152,0.2754613654967535,12,0.29220692949659943,0.04205810416997305,12,9.093965090092789,1.7950092914242743,12,0.18164561921750239,0.3560254136663047,0.14420388286438182,0.2826396104141884,0.05014032358654481,0.09827503422962783,0.07951884676044627,0.15585693965047467,0.012141128882069632,0.023796612608856477,0.5181745488008421,1.0156221156496505,80.26744424046721
Existing DRL,Parameter drift,5.281203194879461,0.3584929982176602,12,4.153372350187976,0.7092385505302728,12,2.754838854765668,0.4758683905446873,12,1.851047604617386,0.2749560358131901,12,0.31040871181046653,0.05978722392390271,12,10.600145682069725,1.703381396575768,12,0.10348801451178107,0.2028365084430909,0.2047395340341565,0.40128948670694675,0.1373713716899046,0.269247888512213,0.07937297064602886,0.15557102246621657,0.017259084913282832,0.03382780643003435,0.4917238539228102,0.963778753688708,73.11829084104215
Existing DRL,Preload drop,6.6330530381520285,0.8462406714811296,12,5.782904846318224,0.9028189914009562,12,4.178265793397458,0.7668425757547586,12,2.676070741512998,0.561616938766644,12,0.367311971669821,0.0745941032218136,12,14.276260849684716,1.6697402912876786,12,0.24428863973941992,0.478805733889263,0.2606213938574243,0.5108179319605516,0.22136838376903795,0.43388203218731436,0.16212484538918776,0.317764696962808,0.021533462787536407,0.04220558706357136,0.4820125033258527,0.9447445065186713,58.31119258793263
Existing DRL,Afterload rise,6.162501142344964,1.0232700505811936,12,4.83719406785193,0.2909268479503883,12,3.303242425204553,0.7675729758289126,12,3.378763524249301,0.46575890371842005,12,0.3605302517312415,0.059595838543977916,12,13.215845851569014,2.208596198960576,12,0.29539261957836704,0.5789695343735994,0.08398334698932301,0.1646073600990731,0.2215792321087524,0.4342952949331547,0.13445301421964742,0.26352790787050895,0.017203836712973562,0.03371951995742818,0.6375668050005364,1.2496309378010513,61.772089959108996
Existing DRL,Composite,7.083985874438565,0.8456618087027075,12,7.8635164204221235,1.2806495172713575,12,5.28778166238521,0.7965750102377286,12,4.485374966925651,0.7416553193291456,12,0.47179190637424573,0.08825696228482872,12,17.16303474425565,1.5814022237900183,12,0.244121536448947,0.4784782114399361,0.3696916717670913,0.7245956766634989,0.22995139829524075,0.4507047406586719,0.21409744913030004,0.4196310002953881,0.02547759046650226,0.04993607731434443,0.45651149980111994,0.894762539610195,42.20093762860545
Rule-based,Nominal,5.121195310483325,0.5819361025097772,12,2.83266557209461,0.49834934628509286,12,1.829586582740678,0.28088947032624845,12,1.1768821638600049,0.29754026327577393,12,0.2609998947239945,0.06337426533180401,12,9.831030216445582,1.4682773764795654,12,0.1679904827175908,0.32926134612647795,0.1438610646140862,0.28196768664360894,0.08108580565269548,0.15892817907928314,0.08589247554851011,0.1683492520750798,0.01829457457450591,0.03585736616603158,0.4238551692777573,0.8307561317844043,80.91261556786243
Rule-based,Sensor noise,6.336370869552103,0.824140265463903,12,4.7204562311774865,1.212439232542127,12,3.502398672624672,0.5052637319580647,12,2.55100190433425,0.43750312348852116,12,0.3606389283260067,0.05802960979574355,12,14.162652816669079,2.107368472387281,12,0.23790880205779702,0.46630125203328215,0.35000105864213016,0.6860020749385751,0.1458570758288718,0.28587986862458875,0.1262962730586999,0.24754069519505179,0.016751705418270743,0.032833342619810656,0.6083448774072636,1.1923559597182367,62.247297878361515
Rule-based,Parameter drift,7.8066574697860736,0.4817042571297959,12,7.0435690812531275,1.12032432319561,12,4.6873596031303135,0.7252621203892189,12,3.186147868638008,0.6871637917142275,12,0.42852682769916023,0.05349046181193549,12,17.109314836588748,1.9705213784342563,12,0.1390560412618382,0.2725498408732029,0.3234097747883354,0.6338831585851373,0.20936514021987715,0.4103556748309592,0.1983671000617866,0.3887995161211017,0.015441366263099176,0.030265077875674385,0.5688405241414652,1.1149274273172718,47.27897734281052
Rule-based,Preload drop,8.829079458494746,0.9240945610681174,12,9.961897909535356,1.0058600652273963,12,7.117681405368809,0.5921318773059616,12,4.86814834853259,0.9469473257852775,12,0.5857602481158294,0.08205477115558608,12,21.18360710467173,2.6997300991090407,12,0.2667631217946733,0.5228557187175596,0.2903667897130659,0.5691189078376091,0.1709337493791777,0.3350301487831883,0.27336014672526315,0.5357858875815158,0.023687172107485385,0.04642685733067135,0.7793449497299699,1.527516101470741,23.635095572277844
Rule-based,Afterload rise,8.180198710804483,1.0515487907697398,12,9.028619922883522,0.9662121977378906,12,6.2977616180755085,0.7392238276401876,12,5.805514323266103,1.0678548990471015,12,0.5235677192282777,0.11159585232706085,12,18.844848684692728,2.3971847291193322,12,0.3035559887084674,0.5949697378685961,0.2789214362291355,0.5466860150091056,0.2133955379397239,0.41825525436185884,0.30826315671015236,0.6041957871518986,0.032214947690737156,0.06314129747384482,0.6920076243271533,1.3563349436812204,30.011518256753916
Rule-based,Composite,10.04610435666787,1.0544396532652947,12,13.680503003148408,1.756601305610436,12,9.27773183587266,1.358027310293837,12,7.69130045632179,1.2874382263350992,12,0.6410991788372772,0.07752730700883693,12,25.747787100033776,2.4574095148266544,12,0.3043905088284668,0.5966053973037949,0.5070871183265167,0.9938907519199727,0.3920287165825051,0.76837628450171,0.37165140326979196,0.7284367504087922,0.022380205785549383,0.04386520333967679,0.7093930224471583,1.3904103239964303,0.0
